family,target,seed,n,pos_rate,eer,auc,acc_shipped,acc_otsu,acc_median,acc_oracle,bacc_shipped,bacc_otsu,bacc_median,bacc_oracle,t_otsu,t_median
deepfense_w2v2_aasist_s240,dataset2,0,4447,0.4886440296829323,27.455042111530293,0.7855595436274968,72.40836519001574,72.4758263998201,72.45333932988531,73.10546435799415,72.19126272260384,72.26233566910767,72.46518295819688,73.01902375074928,0.490234375,0.18184365332126617
deepfense_w2v2_aasist_s240,hf_commercialtts,0,1866,0.5,38.478027867095385,0.6823842690717516,62.37942122186495,62.540192926045016,61.521972132904615,62.64737406216506,62.37942122186495,62.54019292604502,61.521972132904615,62.64737406216506,0.533203125,0.8377492129802704
deepfense_w2v2_aasist_s240,hf_wavefake,0,6000,0.5,16.683333333333334,0.9124833333333333,79.95,80.03333333333333,83.21666666666667,84.81666666666666,79.95,80.03333333333333,83.21666666666667,84.81666666666668,0.486328125,0.043042849749326706
deepfense_w2v2_aasist_s240,in_the_wild,0,6000,0.5,6.766666666666666,0.980823611111111,75.58333333333334,76.08333333333334,93.23333333333333,93.46666666666667,75.58333333333334,76.08333333333333,93.23333333333333,93.46666666666667,0.537109375,0.9978341460227966
deepfense_w2v2_aasist_s42,arabic,0,5570,0.5385996409335727,32.15869001297017,0.7343448119325551,53.85996409335727,53.87791741472172,67.7737881508079,67.63016157989227,50.03067444876783,50.047341115434506,67.84130998702983,67.02905317769131,0.396484375,0.9995761513710022
deepfense_w2v2_aasist_s42,asvspoof2021df,0,6000,0.5,4.983333333333332,0.9912886666666667,80.46666666666667,80.51666666666667,95.01666666666667,95.21666666666667,80.46666666666667,80.51666666666665,95.01666666666667,95.21666666666665,0.513671875,0.999562680721283
deepfense_w2v2_aasist_s42,asvspoof2021la,0,6000,0.5,6.233333333333333,0.9824342222222222,84.76666666666667,84.76666666666667,93.76666666666667,93.98333333333333,84.76666666666665,84.76666666666665,93.76666666666667,93.98333333333333,0.505859375,0.9992958307266235
deepfense_w2v2_aasist_s42,dataset2,0,4447,0.4886440296829323,42.91316513005823,0.5854804972354,46.12098043624916,45.89610973690128,56.82482572520801,62.42410613897009,47.164205624233766,46.932065029317585,56.83320239883336,61.81349948860668,0.556640625,0.9993638396263123
deepfense_w2v2_aasist_s42,hf_commercialtts,0,1866,0.5,48.82100750267953,0.5228279737021375,49.839228295819936,49.89281886387996,50.91103965702036,54.71596998928189,49.839228295819936,49.89281886387996,50.91103965702036,54.71596998928189,0.662109375,0.9994966983795166
deepfense_w2v2_aasist_s42,hf_wavefake,0,6000,0.5,21.316666666666666,0.8696396111111111,50.0,50.0,78.68333333333334,79.5,50.0,50.0,78.68333333333332,79.5,0.994140625,0.9995891451835632
deepfense_w2v2_aasist_s42,in_the_wild,0,6000,0.5,14.499999999999998,0.930743277777778,51.13333333333333,51.26666666666667,85.01666666666667,85.76666666666667,51.13333333333333,51.26666666666667,85.01666666666668,85.76666666666665,0.615234375,0.9995891451835632
hf_ast_asv19,arabic,0,5570,0.5385996409335727,31.883722438391697,0.7395060959792477,53.87791741472172,53.87791741472172,68.07899461400359,54.43447037701975,50.01945525291829,50.01945525291829,68.1162775616083,50.686705577172496,0.056640625,0.9999954700469971
hf_ast_asv19,asvspoof2021df,0,6000,0.5,17.633333333333333,0.9110592222222222,76.43333333333334,76.44999999999999,82.36666666666666,80.65,76.43333333333334,76.44999999999999,82.36666666666666,80.65,0.501953125,0.9999885559082031
hf_ast_asv19,asvspoof2021la,0,6000,0.5,17.21666666666667,0.8989411666666667,70.33333333333334,70.33333333333334,82.78333333333333,81.68333333333334,70.33333333333334,70.33333333333334,82.78333333333333,81.68333333333334,0.501953125,0.9999847412109375
hf_ast_asv19,dataset2,0,4447,0.4886440296829323,41.87720408094707,0.5954835287636991,47.60512705194513,47.627614121879915,58.10658871149089,51.13559703170677,48.7063489268835,48.729358590942404,58.12840161557388,50.53810639166779,0.435546875,0.9999877214431763
hf_ast_asv19,hf_commercialtts,0,1866,0.5,37.19185423365487,0.6680406070610887,51.661307609860664,51.60771704180064,62.80814576634513,55.89496248660236,51.661307609860664,51.60771704180064,62.80814576634513,55.89496248660235,0.494140625,0.9999920129776001
hf_ast_asv19,hf_wavefake,0,6000,0.5,20.566666666666666,0.8736957777777777,50.0,50.0,79.08333333333334,53.800000000000004,50.0,50.0,79.08333333333333,53.800000000000004,0.966796875,0.9999865293502808
hf_ast_asv19,in_the_wild,0,6000,0.5,37.516666666666666,0.687503388888889,52.6,52.61666666666667,62.483333333333334,61.0,52.6,52.61666666666667,62.483333333333334,61.0,0.525390625,0.9999716281890869
hf_w2v2_bisher,arabic,0,5570,0.5385996409335727,49.82775616083009,0.500877496757458,44.4524236983842,44.43447037701975,50.179533213644525,55.9245960502693,47.16452658884565,47.047470817120626,50.172243839169916,53.06297016861219,0.404296875,0.0037654137704521418
hf_w2v2_bisher,asvspoof2021df,0,6000,0.5,6.466666666666665,0.9819553333333333,92.75,92.71666666666667,93.53333333333333,93.66666666666667,92.75,92.71666666666667,93.53333333333333,93.66666666666667,0.490234375,0.015306800603866577
hf_w2v2_bisher,asvspoof2021la,0,6000,0.5,5.966666666666666,0.9870388333333333,94.08333333333333,94.08333333333333,94.03333333333333,94.23333333333333,94.08333333333333,94.08333333333334,94.03333333333333,94.23333333333333,0.490234375,0.5331847667694092
hf_w2v2_bisher,dataset2,0,4447,0.4886440296829323,41.44791296073463,0.622601844577713,51.31549359118507,51.36046773105465,58.21902406116482,58.916123229143246,50.184077312471246,50.23009664058905,58.55208703926537,58.212750146618305,0.099609375,0.0020507434383034706
hf_w2v2_bisher,hf_commercialtts,0,1866,0.5,39.71061093247588,0.5740859447965454,48.87459807073955,48.60664523043944,60.28938906752411,51.39335476956056,48.87459807073955,48.60664523043944,60.28938906752413,51.39335476956055,0.318359375,0.0020507434383034706
hf_w2v2_bisher,hf_wavefake,0,6000,0.5,51.35000000000001,0.4773933888888888,50.0,50.0,48.65,49.916666666666664,50.0,50.0,48.650000000000006,49.91666666666667,0.001953125,0.0020507434383034706
hf_w2v2_bisher,in_the_wild,0,6000,0.5,21.349999999999998,0.8295233888888889,53.300000000000004,53.48333333333334,78.64999999999999,73.28333333333333,53.29999999999999,53.48333333333334,78.64999999999999,73.28333333333333,0.408203125,0.0020507434383034706
hf_w2v2_mothecreator,arabic,0,5570,0.5385996409335727,49.0996757457847,0.5037618677042801,49.33572710951526,49.31777378815081,50.80789946140036,53.85996409335727,47.77710765239948,47.757652399481195,50.78067444876784,50.0,0.494140625,0.9999339580535889
hf_w2v2_mothecreator,asvspoof2019,0,5580,0.5376344086021505,0.4104651162790681,0.9993973514211886,99.24731182795699,99.24731182795699,96.4336917562724,99.58781362007169,99.2891472868217,99.2891472868217,96.68333333333334,99.58953488372093,0.353515625,0.9999560117721558
hf_w2v2_mothecreator,asvspoof2021df,0,6000,0.5,10.583333333333334,0.9399562222222222,86.83333333333333,86.83333333333333,89.41666666666667,89.36666666666667,86.83333333333334,86.83333333333334,89.41666666666667,89.36666666666666,0.498046875,0.9999611377716064
hf_w2v2_mothecreator,asvspoof2021la,0,6000,0.5,0.6999999999999985,0.9991068888888889,98.6,98.61666666666666,99.33333333333333,99.35000000000001,98.6,98.61666666666666,99.33333333333333,99.35000000000001,0.201171875,0.9998059272766113
hf_w2v2_mothecreator,dataset2,0,4447,0.4886440296829323,48.97656576008186,0.5271706289024856,50.41601079379356,50.41601079379356,51.00067461209804,54.508657521924896,50.453272168506025,50.453272168506025,51.00144655302281,54.08609742741027,0.498046875,0.9525741338729858
hf_w2v2_mothecreator,hf_commercialtts,0,1866,0.5,22.132904608788856,0.8497287156988774,78.13504823151125,78.13504823151125,77.86709539121115,78.5101822079314,78.13504823151125,78.13504823151125,77.86709539121115,78.5101822079314,0.494140625,0.9835969805717468
hf_w2v2_mothecreator,hf_wavefake,0,6000,0.5,64.55,0.3395978888888889,50.0,49.983333333333334,35.449999999999996,50.016666666666666,50.0,49.983333333333334,35.449999999999996,50.016666666666666,0.001953125,1.6187581422855146e-05
hf_w2v2_mothecreator,in_the_wild,0,6000,0.5,10.333333333333336,0.9495957222222222,89.06666666666668,89.06666666666668,89.66666666666666,89.78333333333333,89.06666666666668,89.06666666666668,89.66666666666666,89.78333333333333,0.490234375,0.9996079206466675
hf_xlsr_gustking,arabic,0,5570,0.5385996409335727,27.610440985732815,0.7872575875486381,64.66786355475763,65.31418312387792,72.2262118491921,72.49551166965888,66.73709468223088,67.26459143968872,72.34273670557718,72.71556420233463,0.462890625,0.17217186093330383
hf_xlsr_gustking,asvspoof2021df,0,6000,0.5,9.183333333333334,0.9713410555555555,91.48333333333333,91.53333333333333,90.8,91.56666666666666,91.48333333333333,91.53333333333333,90.8,91.56666666666666,0.494140625,0.736021101474762
hf_xlsr_gustking,asvspoof2021la,0,6000,0.5,2.633333333333333,0.9970737222222223,92.46666666666667,92.68333333333332,97.36666666666667,97.38333333333333,92.46666666666667,92.68333333333332,97.36666666666667,97.38333333333333,0.482421875,0.11858924850821495
hf_xlsr_gustking,dataset2,0,4447,0.4886440296829323,49.921510130120964,0.48623781266935984,50.326062514054414,50.23611423431527,50.101191814706546,55.81290757814257,50.30298081394713,50.22013995218361,50.10149953393794,55.10282304495768,0.494140625,0.4785897731781006
hf_xlsr_gustking,hf_commercialtts,0,1866,0.5,26.95605573419078,0.8090533022243818,72.40085744908896,72.66881028938906,72.9903536977492,75.34833869239014,72.40085744908896,72.66881028938907,72.9903536977492,75.34833869239014,0.482421875,0.45265690982341766
hf_xlsr_gustking,hf_wavefake,0,6000,0.5,21.933333333333334,0.8573696111111111,50.06666666666667,51.55,77.66666666666666,77.71666666666667,50.06666666666667,51.55,77.66666666666666,77.71666666666667,0.158203125,0.0753123089671135
hf_xlsr_gustking,in_the_wild,0,6000,0.5,12.65,0.9412628888888889,79.98333333333333,80.25,87.35000000000001,87.81666666666666,79.98333333333333,80.25,87.35,87.81666666666666,0.474609375,0.10521053522825241
hf_xlsr_stafford,arabic,0,5570,0.5385996409335727,40.55570687418936,0.6399433852140077,59.74865350089766,59.6588868940754,59.40754039497307,60.017953321364445,61.43702983138781,61.30629053177691,59.45836575875486,61.45369649805448,0.470703125,0.049958523362874985
hf_xlsr_stafford,asvspoof2021df,0,6000,0.5,15.833333333333332,0.8731995555555556,63.949999999999996,65.33333333333333,84.16666666666667,85.66666666666667,63.95000000000001,65.33333333333333,84.16666666666667,85.66666666666667,0.591796875,0.9860439002513885
hf_xlsr_stafford,asvspoof2021la,0,6000,0.5,10.716666666666663,0.9370080000000001,67.30000000000001,69.23333333333333,89.21666666666667,90.76666666666667,67.30000000000001,69.23333333333333,89.21666666666667,90.76666666666667,0.595703125,0.8976953029632568
hf_xlsr_stafford,dataset2,0,4447,0.4886440296829323,41.28610665556051,0.6482889876193032,58.713739599730154,58.713739599730154,58.66876545986058,62.58151562851361,58.79769547185192,58.79769547185192,58.67400587930307,61.84273208291897,0.501953125,0.685528576374054
hf_xlsr_stafford,hf_wavefake,0,6000,0.5,55.56666666666666,0.42296072222222225,50.0,49.13333333333333,44.43333333333334,50.14999999999999,50.0,49.133333333333326,44.43333333333334,50.14999999999999,0.001953125,0.001597845577634871
hf_xlsr_stafford,in_the_wild,0,6000,0.5,38.983333333333334,0.6651701666666666,67.43333333333334,67.48333333333333,60.95,67.53333333333333,67.43333333333334,67.48333333333333,60.949999999999996,67.53333333333333,0.466796875,0.008711383678019047
ssl_aasist_wavefake,arabic,0,5570,0.5385996409335727,22.386770428015563,0.8578844357976654,59.26391382405745,59.587073608617594,77.45062836624776,77.86355475763015,55.93132295719845,56.284306095979254,77.6026588845655,77.64870298313878,0.576171875,0.9993013143539429
ssl_aasist_wavefake,asvspoof2019,0,5580,0.5376344086021505,0.4658914728682191,0.999770607235142,89.49820788530467,90.21505376344085,96.29032258064515,99.56989247311829,88.64341085271317,89.4186046511628,96.54728682170543,99.56472868217054,0.541015625,0.999480664730072
ssl_aasist_wavefake,asvspoof2021df,0,6000,0.5,3.316666666666664,0.9937529444444444,70.3,71.5,96.68333333333334,96.91666666666666,70.30000000000001,71.5,96.68333333333334,96.91666666666667,0.564453125,0.9986955523490906
ssl_aasist_wavefake,asvspoof2021la,0,6000,0.5,11.716666666666667,0.9579522777777778,77.08333333333334,77.51666666666667,88.28333333333333,88.81666666666666,77.08333333333333,77.51666666666665,88.28333333333333,88.81666666666666,0.537109375,0.9953904151916504
ssl_aasist_wavefake,dataset2,0,4447,0.4886440296829323,33.97761404556845,0.7340157712325368,66.876545986058,66.8990330559928,65.95457611873174,68.24825725208005,66.79762140380403,66.81960909069936,65.9635767338905,67.89052985367312,0.505859375,0.3127896785736084
ssl_aasist_wavefake,hf_commercialtts,0,1866,0.5,43.67631296891747,0.5923107586655317,53.85852090032154,54.072883172561625,56.32368703108253,59.64630225080386,53.85852090032154,54.072883172561625,56.32368703108253,59.64630225080386,0.529296875,0.9105454087257385
ssl_aasist_wavefake,in_the_wild,0,6000,0.5,4.566666666666666,0.9862182222222222,80.88333333333333,81.23333333333333,95.43333333333334,95.46666666666667,80.88333333333333,81.23333333333333,95.43333333333332,95.46666666666667,0.525390625,0.9988664388656616
