ckpt,method,setting,seed,eval_sub,eer,auc,acc,acc_median_rule,n,attainable,deficit,smoke,adapt_min,pi_fake_hat,pi_fake_true,lo_frac,hi_frac,q,conf_tau,skew_target
ssl_aasist_wavefake,ours_oracle,official_eval,0,0,4.67,0.9877,95.333,86.847,31779,95.33,-0.004,False,22.9,0.371,0.371,0.3774,0.2226,0.3,,
ssl_aasist_wavefake,ours_oracle,disjoint_eval,0,0,4.704,0.9883,95.305,87.045,11779,95.296,-0.009,False,22.9,0.371,0.371,0.3774,0.2226,0.3,,
deepfense_w2v2_aasist_s42,ours_gmm,official_eval,0,0,14.947,0.9294,54.995,79.757,31779,85.053,30.057,False,22.7,0.9105,0.371,0.0537,0.5463,0.3,,
deepfense_w2v2_aasist_s42,ours_gmm,disjoint_eval,0,0,14.411,0.9311,55.013,80.202,11779,85.589,30.576,False,22.7,0.9105,0.371,0.0537,0.5463,0.3,,
deepfense_w2v2_aasist_s42,ours_oracle,official_eval,0,0,11.591,0.9524,91.28,81.828,31779,88.409,-2.872,False,22.7,0.371,0.371,0.3774,0.2226,0.3,,
deepfense_w2v2_aasist_s42,ours_oracle,disjoint_eval,0,0,11.047,0.9541,91.451,82.155,11779,88.953,-2.498,False,22.7,0.371,0.371,0.3774,0.2226,0.3,,
ssl_aasist_wavefake,ours_conf,official_eval,0,0,4.881,0.9861,86.645,86.941,31779,95.119,8.473,False,23.0,,,,,0.3,0.95,
ssl_aasist_wavefake,ours_conf,disjoint_eval,0,0,4.87,0.9866,86.561,87.121,11779,95.13,8.57,False,23.0,,,,,0.3,0.95,
ssl_aasist_wavefake,tent,official_eval,0,0,4.613,0.9832,95.374,86.497,31779,95.387,0.013,False,7.9,,,,,0.3,,
ssl_aasist_wavefake,tent,disjoint_eval,0,0,4.58,0.9833,95.288,86.654,11779,95.42,0.132,False,7.9,,,,,0.3,,
ssl_aasist_wavefake,shot,official_eval,0,0,4.967,0.9826,85.251,86.947,31779,95.033,9.782,False,14.7,,,,,0.3,,
ssl_aasist_wavefake,shot,disjoint_eval,0,0,4.881,0.9829,85.355,87.104,11779,95.119,9.764,False,14.7,,,,,0.3,,
ssl_aasist_wavefake,eta,official_eval,0,0,4.594,0.9812,95.39,86.271,31779,95.406,0.015,False,8.3,,,,,0.3,,
ssl_aasist_wavefake,eta,disjoint_eval,0,0,4.65,0.9814,95.288,86.417,11779,95.35,0.062,False,8.3,,,,,0.3,,
ssl_aasist_wavefake,sar,official_eval,0,0,5.016,0.9857,88.118,86.884,31779,94.984,6.866,False,16.6,,,,,0.3,,
ssl_aasist_wavefake,sar,disjoint_eval,0,0,4.92,0.9863,88.08,87.036,11779,95.08,7.0,False,16.6,,,,,0.3,,
ssl_aasist_wavefake,source,official_eval,0,0,5.255,0.985,96.489,59.989,13129,94.745,-1.744,False,,,,,,0.3,,0.9
ssl_aasist_wavefake,source,disjoint_eval,0,0,5.007,0.9876,96.335,62.176,5129,94.993,-1.342,False,,,,,,0.3,,0.9
ssl_aasist_wavefake,ours_fixed,official_eval,0,0,5.035,0.9861,97.753,60.058,13129,94.965,-2.788,False,8.9,,,,,0.02,,0.9
