corpus,ckpt,arm,seed,eval_sub,q,skew,setting,n,prior,eer,legacy_eer,auc,accuracy,balanced_accuracy,fpr,fnr,oracle_accuracy,threshold_gap,threshold,exact_one_pct,near_one_pct,largest_tie_pct,n_unique
df2021,deepfense_w2v2_aasist_s2,ours_bbse_nocons,0,0,0.3,0,disjoint_eval,380435,0.9722659587,3.995770499,3.998973738,0.9934748751,98.90362348,86.52737232,26.57568003,0.3695753263,99.00718914,0.1035656551,0.5,0,88.41352662,40.85034237,1927
df2021,deepfense_w2v2_aasist_s2,ours_conf,0,0,0.3,0,available_pool,400435,0.9721902431,4.300695312,4.303371409,0.9917984143,99.02106459,85.02505223,29.79525862,0.1546369243,99.02406133,0.002996741044,0.5,0,0,21.47015121,1863
df2021,deepfense_w2v2_aasist_s2,ours_conf,0,0,0.3,0,disjoint_eval,380435,0.9722659587,4.322697815,4.328167604,0.9917146767,99.02401199,84.98719262,29.8739456,0.151669172,99.02769198,0.003679997897,0.5,0,0,21.42678776,1815
df2021,deepfense_w2v2_aasist_s2,ours_fixed,0,0,0.3,0,available_pool,400435,0.9721902431,5.83701806,5.835896646,0.9846094476,62.96053042,80.88508074,0.1346982759,38.09514024,98.33755791,35.37702748,0.5,0,0,0.263213755,8170
df2021,deepfense_w2v2_aasist_s2,ours_fixed,0,0,0.3,0,disjoint_eval,380435,0.9722659587,5.842752155,5.842368347,0.9845952102,62.96134688,80.88335105,0.1421666193,38.09113127,98.3461038,35.38475692,0.5,0,0,0.2657484196,8033
df2021,deepfense_w2v2_aasist_s2,ours_fixed,0,0,0.02,0,available_pool,400435,0.9721902431,4.193654249,4.19364903,0.9929854407,98.96212869,83.88255717,32.08512931,0.1497563569,98.96862162,0.006492938929,0.5,0,0,8.905065741,1567
df2021,deepfense_w2v2_aasist_s2,ours_fixed,0,0,0.02,0,disjoint_eval,380435,0.9722659587,4.201130024,4.204199189,0.9929288497,98.96381773,83.84213919,32.16756706,0.1481545566,98.97091487,0.007097138802,0.5,0,0,8.908223481,1527
df2021,deepfense_w2v2_aasist_s2,ours_fixed,0,0,0.05,0,available_pool,400435,0.9721902431,5.964990409,5.964119123,0.9894372856,95.68394371,93.94647664,7.893318966,4.213727752,99.03579857,3.351854858,0.5,0,0,4.621723875,4165
df2021,deepfense_w2v2_aasist_s2,ours_fixed,0,0,0.05,0,disjoint_eval,380435,0.9722659587,5.979104169,5.979418284,0.9894031267,95.69650532,93.93817233,7.923419581,4.20023575,99.04030912,3.343803804,0.5,0,0,4.634431637,4100
df2021,deepfense_w2v2_aasist_s2,ours_fixed,0,0,0.1,0,available_pool,400435,0.9721902431,5.621408046,5.621525525,0.9880845343,88.14913781,92.5748109,2.738864943,12.11151326,98.84051094,10.69137313,0.5,0,0,1.873212881,5856
